project,bug type,file,function,line,path length,report,result,category,issue,submit,count
SciPy,RL,scipy/sparse/linalg/dsolve/_superlumodule.c,PyInit__superlu,336,11,report-206823.html,FP,unmodeled behavior,-,False positive,1
SciPy,RL,scipy/sparse/linalg/dsolve/_superluobject.c,trans_cvt,910,23,report-d8636a.html,TP,pure leak,https://github.com/scipy/scipy/issues/16234,issued,1
SciPy,RL,scipy/sparse/linalg/dsolve/_superluobject.c,droprule_one_cvt,963,28,report-972b9e.html,TP,pure leak,same bug with report-d8636a.html,issued,1
SciPy,RL,scipy/sparse/sparsetools/sparsetools.cxx,PyInit__sparsetools,569,5,report-da7180.html,TP,leak on error handling branch,https://github.com/scipy/scipy/issues/16231,fixed,1
SciPy,RL,scipy/spatial/src/distance_wrap.c,PyInit__distance_wrap,923,5,report-bb9ac7.html,TP,leak on error handling branch,https://github.com/scipy/scipy/issues/16231,fixed,1
SciPy,RL,scipy/special/sf_error.c,sf_error,93,20,report-1917e6.html,TP,pure leak,https://github.com/scipy/scipy/issues/16233,fixed,3
SciPy,RL,scipy/stats/_hypotests_pythran.cpp,PyInit__hypotests_pythran,1208,9,report-b091ba.html,TP,created passed to non-stealing,-,Function deleted,1
SciPy,UaR,scipy/ndimage/src/nd_image.c,Py_FindObjects,931,34,report-52c86c.html,TP,use after created passed to decrease,https://github.com/scipy/scipy/issues/14713,fixed,1
SciPy,UaR,scipy/ndimage/src/nd_image.c,Py_FindObjects,934,34,report-65df7d.html,FP,unmodeled behavior,-,False positive,1
SciPy,UaR,scipy/odr/__odrpack.c,fcn_callback,74,6,report-da8789.html,TP,use after decrement on captured,https://github.com/scipy/scipy/issues/18014,issued,1
Numba,RL,numba/_dispatcher.cpp,PyInit__dispatcher,1001,9,report-0dc3d1.html,TP,leak on error handling branch,https://github.com/numba/numba/issues/8091,confirmed,1
Numba,RL,numba/_dynfuncmod.c,PyInit__dynfunc,36,18,report-c33201.html,TP,created passed to non-stealing,https://github.com/numba/numba/issues/8090,confirmed,1
Numba,RL,numba/_dynfuncmod.c,PyInit__dynfunc,66,7,report-235f50.html,TP,leak on error handling branch,https://github.com/numba/numba/issues/8091,confirmed,1
Numba,RL,numba/_dynfuncmod.c,PyInit__dynfunc,73,9,report-66bdf9.html,TP,created passed to non-stealing,https://github.com/numba/numba/issues/8090,confirmed,1
Numba,RL,numba/_helpermod.c,PyInit__helperlib,287,7,report-f3d5d2.html,TP,leak on error handling branch,https://github.com/numba/numba/issues/8091,confirmed,1
Numba,RL,numba/_typeof.c,compute_fingerprint,284,24,report-b8bc21.html,TP,leak on error handling branch,https://github.com/numba/numba/issues/8092,confirmed,1
Numba,RL,numba/_typeof.c,compute_fingerprint,300,30,report-ade41c.html,TP,leak on error handling branch,https://github.com/numba/numba/issues/8092,confirmed,1
Numba,RL,numba/_typeof.c,compute_fingerprint,323,44,report-acbd1a.html,TP,leak on error handling branch,https://github.com/numba/numba/issues/8092,confirmed,1
Numba,RL,numba/_typeof.c,compute_fingerprint,345,28,report-92e957.html,TP,leak on error handling branch,https://github.com/numba/numba/issues/8092,confirmed,1
Numba,RL,numba/_typeof.c,_typecode_fallback,533,28,report-f434a8.html,FP,maybe on purpose,-,False positive,1
Numba,RL,numba/_typeof.c,_typecode_fallback,539,26,report-960423.html,FP,maybe on purpose,-,False positive,1
Numba,RL,numba/_typeof.c,get_cached_ndarray_typecode,726,28,report-5c0301.html,TP,leak on error handling branch,https://github.com/numba/numba/issues/8092,confirmed,1
Numba,RL,numba/core/runtime/_nrt_pythonmod.c,PyInit__nrt_python,193,7,report-724a48.html,TP,leak on error handling branch,https://github.com/numba/numba/issues/8091,confirmed,1
Numba,RL,numba/cuda/cudadrv/_extras.c,PyInit__extras,41,6,report-02b47d.html,TP,created passed to non-stealing,https://github.com/numba/numba/issues/8090,confirmed,1
Numba,RL,numba/cuda/cudadrv/_extras.c,PyInit__extras,42,6,report-e871fc.html,TP,created passed to non-stealing,https://github.com/numba/numba/issues/8090,confirmed,1
