project,file,time1,time2,time3,time4,time5,mem1,mem2,mem3,mem4,mem5,time-ave,mem-ave
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/multiarray/nditer_templ.c,16.644,15.686,17.966,12.960,16.857,311372,311372,311372,311372,311372,16.023,545028
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/clip.c,17.970,18.114,14.878,13.501,16.516,193628,193628,193628,193628,193628,16.196,505000
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/loops.c,121.454,119.376,123.899,123.284,110.693,330080,329472,328772,329932,329444,119.741,523168
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/loops_arithmetic.dispatch.avx512f.c,0.801,0.760,0.799,0.760,0.807,110212,110208,110208,110208,110208,0.785,439748.8
numpy,numpy/numpy/random/_mt19937.c,23.145,17.243,20.642,19.159,25.193,256172,256172,256176,256180,256180,21.076,366384.8
numpy,numpy/numpy/core/src/_simd/_simd.c,2.947,3.040,2.864,2.894,2.901,252388,252388,252388,252388,252388,2.929,508564
numpy,numpy/numpy/core/src/multiarray/datetime_strings.c,15.075,17.300,19.518,20.069,16.970,678740,678740,678744,678752,678732,17.786,931129.6
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/_simd/_simd.dispatch.c,13.068,13.726,14.256,9.950,11.275,239200,239200,239200,239200,239200,12.455,917941.6
numpy,numpy/numpy/random/src/mt19937/mt19937-jump.c,1.267,2.006,2.042,1.892,1.875,116568,116312,116312,116312,116312,1.816,355563.2
numpy,numpy/numpy/core/src/multiarray/shape.c,20.840,17.044,15.790,18.158,23.463,541908,541952,541952,541900,541952,19.059,658296
numpy,numpy/numpy/core/src/common/numpyos.c,7.185,6.570,7.293,7.811,5.919,236960,236976,236980,236980,236960,6.956,778904
numpy,numpy/numpy/distutils/checks/cpu_avx512_knl.c,0.452,0.272,0.259,0.434,0.432,97020,97024,97020,97020,97020,0.370,333992
numpy,numpy/numpy/random/src/sfc64/sfc64.c,0.196,0.189,0.179,0.185,0.187,91188,91188,91188,91188,91188,0.187,188208.8
numpy,numpy/numpy/core/src/multiarray/descriptor.c,20.961,17.783,23.687,26.437,20.123,426552,425468,425416,424840,425816,21.798,516806.4
numpy,numpy/build/src.linux-x86_64-3.8/numpy/linalg/umath_linalg.c,14.252,9.200,9.512,11.020,13.645,250904,250892,251144,251276,251280,11.526,676717.6
numpy,numpy/numpy/core/src/common/array_assign.c,3.332,4.427,2.922,4.434,2.916,266348,266348,266352,266348,266348,3.606,517448
numpy,numpy/numpy/core/src/multiarray/strfuncs.c,0.973,1.362,1.058,1.213,1.220,233076,233076,233076,233076,233076,1.165,499424.8
numpy,numpy/numpy/core/src/npymath/npy_math.c,0.248,0.271,0.267,0.185,0.226,92128,92128,92128,92128,92128,0.239,325204
numpy,numpy/numpy/distutils/checks/cpu_f16c.c,0.410,0.260,0.431,0.422,0.451,97000,97000,97000,97000,97000,0.395,189128
numpy,numpy/numpy/core/src/multiarray/abstractdtypes.c,2.829,2.716,2.798,2.515,2.402,257696,257696,257700,257696,257700,2.652,354697.6
numpy,numpy/numpy/random/_bounded_integers.c,58.902,62.162,65.293,56.690,60.085,287324,287416,286900,287156,287924,60.626,545041.6
numpy,numpy/numpy/core/src/multiarray/arrayobject.c,21.429,28.536,30.854,34.185,20.100,724824,722040,724820,722564,724000,27.021,1010993.6
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/multiarray/arraytypes.c,74.300,81.328,69.366,80.403,82.342,626980,626472,626460,626456,626464,77.548,1350216
numpy,numpy/numpy/distutils/checks/cpu_sse41.c,0.073,0.083,0.049,0.077,0.081,85132,85132,85132,85132,85132,0.073,711698.4
numpy,numpy/numpy/distutils/checks/cpu_avx512_cnl.c,0.458,0.456,0.288,0.440,0.422,96952,96952,96952,96952,96952,0.413,182084
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/loops_trigonometric.dispatch.fma3.avx2.c,0.722,0.454,0.771,0.781,0.770,108236,108236,108236,108296,108236,0.700,205200
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/loops_arithmetic.dispatch.sse41.c,0.400,0.395,0.432,0.406,0.390,96684,96684,96684,96684,96684,0.405,204932
numpy,numpy/numpy/distutils/checks/extra_avx512bw_mask.c,0.386,0.286,0.444,0.457,0.416,97412,97412,97416,97416,97412,0.398,194097.6
numpy,numpy/numpy/core/src/multiarray/sequence.c,6.952,8.276,8.179,5.144,4.947,460512,460508,460500,460520,460504,6.700,557922.4
numpy,numpy/numpy/core/src/multiarray/array_assign_scalar.c,9.421,7.489,9.390,8.797,9.589,428692,428692,428636,428688,428692,8.937,889188.8
numpy,numpy/numpy/distutils/checks/cpu_sse42.c,0.081,0.083,0.082,0.081,0.078,85168,85168,85168,85168,85168,0.081,513848
numpy,numpy/numpy/core/src/multiarray/dtypemeta.c,12.656,15.532,18.624,12.159,18.294,410244,410316,410064,409820,410488,15.453,495354.4
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/loops_exponent_log.dispatch.avx512_skx.c,0.817,0.823,0.790,0.696,0.815,110172,110172,110172,110172,110172,0.788,520358.4
numpy,numpy/numpy/core/src/multiarray/conversion_utils.c,12.185,13.181,12.836,8.239,11.038,486752,487264,487272,486752,486752,11.496,597130.4
numpy,numpy/numpy/random/src/mt19937/mt19937.c,0.109,0.120,0.114,0.116,0.068,88676,88676,88676,88676,88676,0.105,575634.4
